,Number Plate,Vehicle Type,Owner Age,License Type,Violation Type,Severity,Date,Time,Location,Repeated Offense,Total Violations,Days Since Last Violation,Weather,Safe
,HR26QR9876,Bike,27,MCWG,Speeding,Medium,2024-04-18,14:20,Gurugram,Yes,3,40,Cloudy,No
,UP32ST4567,Car,35,LMV,Illegal Parking,Low,2024-06-22,10:10,Lucknow,No,1,100,Clear,Yes
,MH11AB4321,Bike,30,MCWOG,No Helmet,Low,2024-07-01,16:45,Mumbai,Yes,3,25,Rainy,No
,DL01CD8765,Car,42,LMV,Speeding,High,2024-05-15,20:00,Central Delhi,No,2,50,Clear,No
,KA03EF2345,Truck,48,HMV,Signal Jump,Medium,2024-03-20,12:30,Bengaluru,Yes,4,35,Foggy,Yes
,TN09GH7890,Bike,22,MCWG,No Helmet,Low,2023-12-25,8:00,Chennai,No,1,180,Clear,Yes
,WB01IJ4567,Car,37,LMV,Speeding,High,2024-08-05,21:15,Kolkata,Yes,4,20,Rainy,No
,MH15KL3456,Bike,26,MCWG,Parking,Low,2024-01-30,9:50,Pune,No,1,110,Clear,Yes
,RJ07MN7890,Truck,44,HMV,Overloading,Medium,2024-09-01,14:00,Jaipur,Yes,3,40,Cloudy,Yes
,MH10OP1234,Car,33,LMV,Speeding,High,2024-10-12,19:30,Mumbai,Yes,5,10,Clear,No
,DL06QR5678,Bike,23,MCWG,No Helmet,Low,2024-02-28,7:00,Delhi,No,1,120,Foggy,Yes
,KA01ST3456,Car,39,LMV,Red Light Jump,High,2024-04-10,18:45,Bengaluru,Yes,3,30,Clear,No
,TN04UV7890,Truck,47,HMV,Signal Jump,Medium,2024-07-15,13:10,Chennai,No,2,55,Rainy,Yes
,WB03WX1234,Bike,28,MCWG,Speeding,Medium,2024-05-05,15:30,Kolkata,Yes,3,35,Clear,No
,MH16YZ4567,Car,31,LMV,Illegal Parking,Low,2024-06-18,11:20,Pune,No,1,90,Cloudy,Yes
,RJ02AB7890,Bike,25,MCWOG,No Helmet,Low,2024-03-22,8:40,Jaipur,Yes,2,60,Clear,No
,MH13CD3456,Truck,49,HMV,Overloading,Medium,2024-08-30,12:00,Mumbai,No,1,80,Rainy,Yes
,DL05EF7890,Car,36,LMV,Speeding,High,2024-09-25,20:50,Delhi,Yes,4,15,Foggy,No
,KA07GH1234,Bike,21,MCWG,No Helmet,Low,2023-11-15,7:30,Bengaluru,No,1,200,Clear,Yes
,TN02IJ5678,Car,41,LMV,Red Light Jump,High,2024-01-05,19:10,Chennai,Yes,3,50,Rainy,No
,WB04KL3456,Truck,46,HMV,Signal Jump,Medium,2024-04-22,13:55,Kolkata,No,2,70,Clear,Yes
,MH17MN7890,Bike,27,MCWG,Speeding,Medium,2024-03-18,14:45,Pune,Yes,3,40,Cloudy,No
,RJ05OP1234,Car,34,LMV,Illegal Parking,Low,2024-07-10,10:25,Jaipur,No,1,95,Clear,Yes
,MH18QR5678,Bike,29,MCWOG,No Helmet,Low,2024-05-30,16:00,Mumbai,Yes,3,20,Rainy,No
,DL07ST3456,Car,43,LMV,Speeding,High,2024-06-05,21:40,Delhi,No,2,60,Foggy,No
,KA02UV7890,Truck,48,HMV,Overloading,Medium,2024-08-12,12:15,Bengaluru,Yes,3,35,Clear,Yes
,TN08WX1234,Bike,23,MCWG,No Helmet,Low,2023-12-20,7:20,Chennai,No,1,170,Clear,Yes
,WB05YZ4567,Car,38,LMV,Speeding,High,2024-09-18,20:05,Kolkata,Yes,4,25,Rainy,No
,MH19AB7890,Bike,26,MCWG,Parking,Low,2024-02-10,9:00,Pune,No,1,100,Cloudy,Yes
,RJ06CD3456,Truck,45,HMV,Signal Jump,Medium,2024-07-25,13:35,Jaipur,Yes,3,30,Clear,Yes
,MH21EF1234,Car,32,LMV,Speeding,High,2024-10-01,22:00,Mumbai,Yes,5,12,Clear,No
,DL08GH5678,Bike,24,MCWG,No Helmet,Low,2024-01-18,8:15,Delhi,No,1,140,Foggy,Yes
,KA04IJ7890,Car,39,LMV,Red Light Jump,High,2024-04-28,18:20,Bengaluru,Yes,3,28,Clear,No
,TN03KL3456,Truck,47,HMV,Overloading,Medium,2024-06-14,11:50,Chennai,No,2,60,Rainy,Yes
,WB06MN7890,Bike,28,MCWG,Speeding,Medium,2024-05-12,15:10,Kolkata,Yes,3,38,Clear,No
,MH22OP1234,Car,31,LMV,Illegal Parking,Low,2024-07-20,10:55,Pune,No,1,85,Cloudy,Yes
,RJ08QR5678,Bike,25,MCWOG,No Helmet,Low,2024-03-28,8:30,Jaipur,Yes,2,55,Clear,No
,MH23ST3456,Truck,49,HMV,Signal Jump,Medium,2024-09-08,12:40,Mumbai,No,1,75,Rainy,Yes
,MH24AB6789,Car,34,LMV,Speeding,High,2024-11-05,21:10,Pune,Yes,4,20,Clear,No
,DL09CD3456,Bike,22,MCWG,No Helmet,Low,2024-03-12,8:25,Delhi,No,1,130,Foggy,Yes
,KA11EF7890,Truck,47,HMV,Overloading,Medium,2024-07-18,13:50,Bengaluru,Yes,3,40,Cloudy,Yes
,TN12GH2345,Car,39,LMV,Red Light Jump,High,2024-05-22,19:40,Chennai,Yes,5,15,Rainy,No
,WB14IJ9876,Bike,29,MCWOG,Speeding,Medium,2024-08-30,17:15,Kolkata,No,2,60,Clear,No
,MH25KL4567,Car,31,LMV,Illegal Parking,Low,2024-06-10,10:30,Mumbai,No,1,90,Cloudy,Yes
,RJ16MN7890,Bike,26,MCWG,No Helmet,Low,2024-02-05,7:50,Jaipur,Yes,3,25,Clear,No
,MH26OP1234,Truck,50,HMV,Signal Jump,Medium,2024-09-15,14:20,Nagpur,No,2,70,Rainy,Yes
,DL17QR5678,Car,36,LMV,Speeding,High,2024-10-01,22:05,Delhi,Yes,4,12,Foggy,No
,KA18ST3456,Bike,24,MCWG,No Helmet,Low,2023-12-20,8:10,Bengaluru,No,1,160,Clear,Yes
,TN19UV7890,Car,42,LMV,Red Light Jump,High,2024-04-15,18:55,Chennai,Yes,3,35,Rainy,No
,WB20WX1234,Truck,45,HMV,Overloading,Medium,2024-07-28,12:40,Kolkata,No,2,50,Clear,Yes
,MH27YZ6789,Bike,28,MCWG,Speeding,Medium,2024-05-10,16:30,Pune,Yes,3,40,Cloudy,No
,RJ21AB1234,Car,33,LMV,Illegal Parking,Low,2024-06-25,11:15,Jaipur,No,1,85,Clear,Yes
,MH28CD5678,Bike,25,MCWOG,No Helmet,Low,2024-03-30,8:45,Mumbai,Yes,2,60,Rainy,No
,DL22EF7890,Car,37,LMV,Speeding,High,2024-08-05,20:20,Delhi,Yes,4,25,Foggy,No
,KA23GH1234,Bike,21,MCWG,No Helmet,Low,2023-11-10,7:35,Bengaluru,No,1,210,Clear,Yes
,TN24IJ5678,Car,40,LMV,Red Light Jump,High,2024-01-18,19:25,Chennai,Yes,5,10,Rainy,No
,WB25KL7890,Truck,49,HMV,Signal Jump,Medium,2024-04-22,13:00,Kolkata,No,2,60,Clear,Yes
,MH29MN3456,Bike,27,MCWG,Speeding,Medium,2024-03-18,14:45,Pune,Yes,3,35,Cloudy,No
,RJ30OP6789,Car,35,LMV,Illegal Parking,Low,2024-07-12,10:50,Jaipur,No,1,90,Clear,Yes
,MH31QR1234,Bike,29,MCWOG,No Helmet,Low,2024-05-28,16:10,Mumbai,Yes,3,20,Rainy,No
,DL32ST5678,Car,44,LMV,Speeding,High,2024-06-08,21:35,Delhi,No,2,60,Foggy,No
,KA33UV7890,Truck,48,HMV,Overloading,Medium,2024-08-14,12:55,Bengaluru,Yes,3,35,Clear,Yes
,TN34WX1234,Bike,23,MCWG,No Helmet,Low,2023-12-22,7:10,Chennai,No,1,170,Clear,Yes
,WB35YZ5678,Car,38,LMV,Speeding,High,2024-09-18,20:05,Kolkata,Yes,4,25,Rainy,No
,MH36AB3456,Bike,26,MCWG,Parking,Low,2024-02-10,9:00,Pune,No,1,100,Cloudy,Yes
,RJ37CD7890,Truck,45,HMV,Signal Jump,Medium,2024-07-25,13:35,Jaipur,Yes,3,30,Clear,Yes
,MH38EF1234,Car,32,LMV,Speeding,High,2024-10-07,22:25,Mumbai,Yes,5,12,Clear,No
,DL39GH5678,Bike,24,MCWG,No Helmet,Low,2024-01-28,8:15,Delhi,No,1,140,Foggy,Yes
,KA40IJ7890,Car,39,LMV,Red Light Jump,High,2024-04-28,18:20,Bengaluru,Yes,3,28,Clear,No
,TN41KL3456,Truck,47,HMV,Overloading,Medium,2024-06-14,11:50,Chennai,No,2,60,Rainy,Yes
,WB42MN7890,Bike,28,MCWG,Speeding,Medium,2024-05-12,15:10,Kolkata,Yes,3,38,Clear,No
,MH43OP1234,Car,30,LMV,Illegal Parking,Low,2024-07-20,10:55,Pune,No,1,85,Cloudy,Yes
,RJ44QR5678,Bike,25,MCWOG,No Helmet,Low,2024-03-28,8:30,Jaipur,Yes,2,55,Clear,No
,MH45ST3456,Truck,49,HMV,Signal Jump,Medium,2024-09-08,12:40,Mumbai,No,1,75,Rainy,Yes
,MH46AB7890,Car,33,LMV,Speeding,High,2024-11-12,21:05,Pune,Yes,4,18,Clear,No
,DL47CD1234,Bike,24,MCWG,No Helmet,Low,2024-03-18,8:40,Delhi,No,1,125,Foggy,Yes
,KA48EF5678,Truck,49,HMV,Overloading,Medium,2024-07-22,14:15,Bengaluru,Yes,3,38,Cloudy,Yes
,TN49GH9012,Car,41,LMV,Red Light Jump,High,2024-05-30,20:10,Chennai,Yes,5,13,Rainy,No
,WB50IJ3456,Bike,31,MCWOG,Speeding,Medium,2024-09-10,17:40,Kolkata,No,2,50,Clear,No
,MH51KL7890,Car,34,LMV,Illegal Parking,Low,2024-06-20,10:20,Mumbai,No,1,88,Cloudy,Yes
,RJ52MN1234,Bike,28,MCWG,No Helmet,Low,2024-02-15,8:10,Jaipur,Yes,3,22,Clear,No
,MH53OP5678,Truck,52,HMV,Signal Jump,Medium,2024-09-25,14:45,Nagpur,No,2,68,Rainy,Yes
,DL54QR9012,Car,38,LMV,Speeding,High,2024-10-10,22:35,Delhi,Yes,4,11,Foggy,No
,KA55ST3456,Bike,26,MCWG,No Helmet,Low,2023-12-30,8:40,Bengaluru,No,1,150,Clear,Yes
,TN56UV7890,Car,44,LMV,Red Light Jump,High,2024-04-25,19:25,Chennai,Yes,3,28,Rainy,No
,WB57WX1234,Truck,48,HMV,Overloading,Medium,2024-08-05,13:15,Kolkata,No,2,48,Clear,Yes
,MH58YZ5678,Bike,30,MCWG,Speeding,Medium,2024-05-20,17:00,Pune,Yes,3,33,Cloudy,No
,RJ59AB9012,Car,35,LMV,Illegal Parking,Low,2024-07-30,11:45,Jaipur,No,1,82,Clear,Yes
,MH60CD3456,Bike,27,MCWOG,No Helmet,Low,2024-04-10,9:10,Mumbai,Yes,2,50,Rainy,No
,DL61EF7890,Car,39,LMV,Speeding,High,2024-08-15,21:00,Delhi,Yes,4,22,Foggy,No
,KA62GH1234,Bike,23,MCWG,No Helmet,Low,2023-11-20,7:45,Bengaluru,No,1,205,Clear,Yes
,TN63IJ5678,Car,42,LMV,Red Light Jump,High,2024-01-25,19:50,Chennai,Yes,5,7,Rainy,No
,WB64KL9012,Truck,51,HMV,Signal Jump,Medium,2024-05-10,13:45,Kolkata,No,2,52,Clear,Yes
,MH65MN3456,Bike,29,MCWG,Speeding,Medium,2024-03-30,15:05,Pune,Yes,3,30,Cloudy,No
,RJ66OP7890,Car,37,LMV,Illegal Parking,Low,2024-07-25,12:00,Jaipur,No,1,80,Clear,Yes
,MH67QR1234,Bike,31,MCWOG,No Helmet,Low,2024-06-01,16:50,Mumbai,Yes,3,15,Rainy,No
,DL68ST5678,Car,46,LMV,Speeding,High,2024-06-15,22:00,Delhi,No,2,65,Foggy,No
,KA69UV7890,Truck,49,HMV,Overloading,Medium,2024-08-20,13:30,Bengaluru,Yes,3,22,Clear,Yes
,TN70WX1234,Bike,25,MCWG,No Helmet,Low,2023-12-30,7:50,Chennai,No,1,165,Clear,Yes
,WB71YZ5678,Car,41,LMV,Speeding,High,2024-09-28,21:10,Kolkata,Yes,4,20,Rainy,No
,MH72AB3456,Bike,26,MCWG,Parking,Low,2024-02-20,9:10,Pune,No,1,100,Cloudy,Yes
,RJ73CD7890,Truck,47,HMV,Signal Jump,Medium,2024-08-10,14:00,Jaipur,Yes,3,27,Clear,Yes
,MH74EF1234,Car,34,LMV,Speeding,High,2024-10-18,23:00,Mumbai,Yes,5,12,Clear,No
,DL75GH5678,Bike,26,MCWG,No Helmet,Low,2024-01-28,8:20,Delhi,No,1,135,Foggy,Yes
,KA76IJ7890,Car,40,LMV,Red Light Jump,High,2024-05-10,19:10,Bengaluru,Yes,3,38,Clear,No
,TN77KL3456,Truck,50,HMV,Overloading,Medium,2024-06-25,12:20,Chennai,No,2,48,Rainy,Yes
,WB78MN7890,Bike,30,MCWG,Speeding,Medium,2024-05-20,15:40,Kolkata,Yes,3,35,Clear,No
,MH79OP1234,Car,32,LMV,Illegal Parking,Low,2024-07-28,11:30,Pune,No,1,80,Cloudy,Yes
,RJ80QR5678,Bike,27,MCWOG,No Helmet,Low,2024-04-05,9:00,Jaipur,Yes,2,45,Clear,No
,MH81ST3456,Truck,52,HMV,Signal Jump,Medium,2024-09-15,13:00,Mumbai,No,1,60,Rainy,Yes
,DL82UV6789,Car,35,LMV,Speeding,High,2024-10-20,22:20,Delhi,Yes,4,15,Foggy,No
,KA83WX1234,Bike,24,MCWG,No Helmet,Low,2023-12-28,8:00,Bengaluru,No,1,160,Clear,Yes
,TN84YZ5678,Car,43,LMV,Red Light Jump,High,2024-02-01,19:40,Chennai,Yes,3,30,Rainy,No
,WB85AB7890,Truck,48,HMV,Overloading,Medium,2024-05-10,13:30,Kolkata,No,2,55,Clear,Yes
,MH86CD3456,Bike,29,MCWG,Speeding,Medium,2024-03-28,15:10,Pune,Yes,3,32,Cloudy,No
